beer_name,beer_id,brewery_id,Style,Category,Brewer,Address,City,State
Sprecher Pub Ale,5152,1181,American-Style Brown Ale,North American Ale,Sprecher Brewing,701 West Glendale Avenue,Glendale,Wisconsin
Climax Oktoberfest,5207,384,German-Style Oktoberfest,German Lager,Climax Brewing Copmany,112 Valley Road,Roselle Park,New Jersey
Amber Waves,5501,1336,American-Style Amber/Red Ale,North American Ale,Walldorff Brew Pub,105 East State Street,Hastings,Michigan
Scratch #22 2009,5617,1286,Belgian-Style White,Belgian and French Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Divine Reserve 9,5733,1091,American-Style Imperial Stout,North American Ale,Saint Arnold Brewing,2522 Fairway Park Drive,Houston,Texas
Old Stock Ale 2002,1381,919,Old Ale,British Ale,North Coast Brewing Company,455 North Main Street,Fort Bragg,California
Hefeweizen,2101,941,South German-Style Hefeweizen,German Ale,Old Hat Brewery,114 North Main Street,Lawton,Michigan
Shamrock Stout,2211,591,American-Style Stout,North American Ale,Govnor's Public House,220 North Randall Road,Lake In The Hills,Illinois
Big Shot Seasonal Ale,68,905,Porter,Irish Ale,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Woody Organic IPA,109,1075,American-Style India Pale Ale,North American Ale,Roots Organic Brewing,1520 SE Seventh Avenue,Portland,Oregon
P.M. Porter,314,133,Porter,Irish Ale,BJ's Restaurant and Brewery,600 Brea Mall,Brea,California
Navidad,741,1151,American-Style Amber/Red Ale,North American Ale,Skagit River Brewing,404 South Third Street,Mount Vernon,Washington
Leinenkugel's Honey Weiss,4334,708,American-Style Lager,North American Lager,Jacob Leinenkugel Brewing Company,1 Jefferson Avenue,Chippewa Falls,Wisconsin
Lone Star,4374,963,American-Style Lager,North American Lager,Pabst Brewing Company,PO Box 1661,San Antonio,Texas
Cider Jack,4525,611,Fruit Beer,Other Style,Green Mountain Beverage,153 Pond Lane,Middlebury,Vermont
Black & Blue,4663,459,Fruit Beer,Other Style,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Marzen,4856,1219,American-Style Lager,North American Lager,Sullivan's Black Forest Brew Haus & Grill,281 Heinlein Strasse,Frankenmuth,Michigan
Big Hop IPA,5015,476,American-Style India Pale Ale,North American Ale,East End Brewing Company,6923 Susquehanna St.,Pittsburgh,Pennsylvania
Urban Wilderness English Pale,5631,1155,Classic English-Style Pale Ale,British Ale,Sleeping Lady Brewing Company,717 W. 3rd Ave,Anchorage,Alaska
Toaster Imperial Stout,5673,476,American-Style Imperial Stout,North American Ale,East End Brewing Company,6923 Susquehanna St.,Pittsburgh,Pennsylvania
Country Ale,3173,864,American-Style Pale Ale,North American Ale,Millrose Brewing,45 South Barrington Road,South Barrington,Illinois
Lager,3450,350,American-Style Lager,North American Lager,Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina
Dreamweaver,3749,1286,Light American Wheat Ale or Lager,Other Style,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Augustiner,3872,698,American-Style Lager,North American Lager,Iron City Brewing Co.,3340 Liberty Ave.,Pittsburgh,Pennsylvania
Sublimator Doppelbock,1149,81,Traditional German-Style Bock,German Lager,Barley's Casino & Brewing Company,4500 East Sunset Road #30,Henderson,Nevada
Black Cat Stout,1155,376,American-Style Stout,North American Ale,Cheshire Cat Brewery,7803 Ralston Road,Arvada,Colorado
Old Princeton Landing IPA,261,624,American-Style India Pale Ale,North American Ale,Half Moon Bay Brewing,390 Capistrano Road,Princeton by the Sea,California
Heater,468,14,American-Style Amber/Red Ale,North American Ale,Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska
Blacktop Porter,788,966,Porter,Irish Ale,Pacific Rim Brewing,9832 14th Avenue SW,Seattle,Washington
Double Rainbow IPA,5083,490,English-Style India Pale Ale,British Ale,Elk Creek Cafe and Aleworks,100 West Main Street PO Box 432,Millheim,Pennsylvania
Climax Barleywine-Style Ale,5205,384,American-Style Barley Wine Ale,North American Ale,Climax Brewing Copmany,112 Valley Road,Roselle Park,New Jersey
Live Oak Hefeweizen,5279,797,South German-Style Hefeweizen,German Ale,Live Oak Brewing,3301-B East Fifth Street,Austin,Texas
Bird of Prey IPA,5575,539,English-Style India Pale Ale,British Ale,Flying Bison Brewing,491 Ontario Street,Buffalo,New York
Georgi-Belgique,5652,882,Other Belgian-Style Ales,Belgian and French Ale,Moon River Brewing Company,21 W. Bay St.,Savannah,Georgia
Sour Cherry Imperial Stout,5861,144,American-Style Imperial Stout,North American Ale,Blue Point Brewing,161 River Avenue,Patchogue,New York
Humbles Blond Ale,4627,538,Golden or Blonde Ale,North American Ale,Flyers Restraunt and Brewery,32295 State Route 20,Oak Harbor,Washington
Superior Stout,4819,853,American-Style Stout,North American Ale,Michigan Brewing,1093 Highview Drive,Webberville,Michigan
Ichabod,4847,908,American-Style Barley Wine Ale,North American Ale,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan
Topping Pale Ale,3009,407,American-Style Pale Ale,North American Ale,Court Avenue Brewing,309 Court Avenue,Des Moines,Iowa
BaderbrÃ¤u Pilsener,3088,586,American-Style Lager,North American Lager,Goose Island Beer Company - Fulton Street,1800 West Fulton Street,Chicago,Illinois
Cambridge Amber,3650,333,American-Style Amber/Red Ale,North American Ale,Cambridge Brewing,1 Kendall Square #100,Cambridge,Massachusetts
Old Viscosity,3902,1009,Old Ale,British Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Pilot Rock Porter,4293,328,Porter,Irish Ale,Caldera Brewing,540 Clover Lane,Ashland,Oregon
Wheat,2832,781,American-Style Lager,North American Lager,Legends Brewhouse & Eatery of Green Bay,2840 Shawano Avenue,Green Bay,Wisconsin
Lager Beer,4129,100,American-Style Lager,North American Lager,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Palo Santo Marron,4487,459,American-Style Brown Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Nectar IPA,5012,686,American-Style India Pale Ale,North American Ale,Humboldt Brewing,856 10th Street,Arcata,California
Samuel Adams Imperial White,5262,157,Belgian-Style White,Belgian and French Ale,Boston Beer Company,30 Germania Street,Boston,Massachusetts
Valley Berry Wheat,5295,1320,Fruit Beer,Other Style,Valley Brewing Company,1950 W. Fremont St.,Stockton,California
Bouldevard ZÅŒN,5302,161,Belgian-Style White,Belgian and French Ale,Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri
Hoppy Chick,5360,1250,English-Style India Pale Ale,British Ale,The Livery,190 5th Street,Benton Harbor,Michigan
Partridge In A Pear Tree,5477,1246,Belgian-Style Quadrupel,Belgian and French Ale,The Bruery,715 Dunn Way,Placentia,California
IPA Series (Horizon),5831,45,American-Style India Pale Ale,North American Ale,Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania
Colonel Blide's Cask Ale,5852,415,Ordinary Bitter,British Ale,Cricket Hill,24 Kulick Road,Fairfield,New Jersey
Maibock,1210,588,Traditional German-Style Bock,German Lager,Gordon Biersch Brewing,357 East Taylor Street,San Jose,California
IPA,1884,403,American-Style India Pale Ale,North American Ale,Corner Pub,100 Main Street,Reedsburg,Wisconsin
Imperial Delusion,2198,854,American-Style Stout,North American Ale,Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,Illinois
Big Bark Amber Lager,2407,797,American-Style Lager,North American Lager,Live Oak Brewing,3301-B East Fifth Street,Austin,Texas
Mesa Cerveza Schnorzenboomer,2482,816,Traditional German-Style Bock,German Lager,Main Street Brewery,300 North Main Street,Corona,California
Porter,732,1124,Porter,Irish Ale,Scuttlebutt Brewing,1524 West Marine View Drive,Everett,Washington
WinterFish Ale,762,526,American-Style Pale Ale,North American Ale,Fish Brewing Company & Fish Tail Brewpub,515 Jefferson Street SE,Olympia,Washington
Boulder Creek Pale Ale,3487,1067,American-Style Pale Ale,North American Ale,Rock Bottom Restaurant & Brewery - San Jose,1875 South Bascom Avenue #700,Campbell,California
Best Brown,3516,1029,American-Style Brown Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Gold Nectar,3699,686,American-Style Pale Ale,North American Ale,Humboldt Brewing,856 10th Street,Arcata,California
Irish Porter (discontinued),3741,590,Porter,Irish Ale,Gottberg Brew Pub,2804 13th Street,Columbus,Nebraska
Raspberry Imperial Stout,3940,1352,American-Style Imperial Stout,North American Ale,Weyerbacher Brewing Company,905 Line Street,Easton,Pennsylvania
Saint Arnold Brown Ale,3106,1091,American-Style Brown Ale,North American Ale,Saint Arnold Brewing,2522 Fairway Park Drive,Houston,Texas
Davie Poplar IPA,3442,1276,American-Style India Pale Ale,North American Ale,Top of the Hill Restaurant and Brewery,101 East Franklin Street,Chapel Hill,North Carolina
Emancipator,1113,1305,Traditional German-Style Bock,German Lager,Ukiah Brewing,102 South State Street,Ukiah,California
Point Loma Porter,1240,404,Porter,Irish Ale,Coronado Brewing Company,170 Orange Avenue,Coronado,California
Easy Street Wheat,336,935,Light American Wheat Ale or Lager,Other Style,Odell Brewing,800 East Lincoln Avenue,Fort Collins,Colorado
Harvest Brown,469,14,American-Style Brown Ale,North American Ale,Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska
Heavy Weizen Imperial Unfiltered Wheat Ale,4882,1173,South German-Style Hefeweizen,German Ale,Southern Tier Brewing Co,2051A Stoneman Circle,Lakewood,New York
MAI-BOCK,4907,56,Traditional German-Style Bock,German Lager,Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan
Old Walt Smoked Wit,5259,1245,Belgian-Style White,Belgian and French Ale,The Blind Bat Brewery LLC,420 Harrison Drive,Centerport,New York
Tailgate Sweet Stout,5508,1232,Sweet Stout,British Ale,Tailgate Beer,6648 Reservoir Ln,San Diego,California
Derailed Black Cherry Ale,5621,507,Fruit Beer,Other Style,Erie Brewing Company,1213 Veshecco Drive,Erie,Pennsylvania
(512) ALT,5739,1,German-Style Brown Ale/Altbier,German Ale,(512) Brewing Company,"407 Radam, F200",Austin,Texas
Squall IPA,5764,459,Imperial or Double India Pale Ale,North American Ale,Dogfish Head Craft Brewery,6 Cannery Village Center,Milton,Delaware
Bucktown Stout,3046,559,American-Style Stout,North American Ale,Front Street Brewery,208 East River Drive,Davenport,Iowa
Calumet Dark,3082,1080,Porter,Irish Ale,Rowland's Calumet Brewery,25 North Madison St,Chilton,Wisconsin
ESB,3753,1286,Extra Special Bitter,British Ale,Troegs Brewing,800 Paxton Street,Harrisburg,Pennsylvania
Black Tulip,3772,908,Belgian-Style Tripel,Belgian and French Ale,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan
Lichthouse Lager,2190,652,American-Style Lager,North American Lager,Hereford & Hops Steakhouse and Brewpub #3,2201 Sherman Street,Wausau,Wisconsin
Liberty Pale Ale,2363,617,American-Style Pale Ale,North American Ale,Grumpy Troll Restaurant and Brewery,105 South Second Street,Mount Horeb,Wisconsin
Brain Damage,2549,580,Old Ale,British Ale,Golden City Brewery,920 Twelfth Street,Golden,Colorado
Kashmir IPA,4466,658,American-Style India Pale Ale,North American Ale,Highland Brewing Company,12 Old Charlotte Highway,Asheville,North Carolina
Wheat Honey Ale,3169,864,American-Style Lager,North American Lager,Millrose Brewing,45 South Barrington Road,South Barrington,Illinois
Stout,3283,686,American-Style Stout,North American Ale,Humboldt Brewing,856 10th Street,Arcata,California
Pale Ale,3370,562,American-Style Pale Ale,North American Ale,Full Sail Brewing #1,506 Columbia Street,Hood River,Oregon
Honey Weizen,3524,1029,American-Style Lager,North American Lager,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Milwaukee's Best Light,3780,863,American-Style Light Lager,North American Lager,Miller Brewing,3939 W. Highland Blvd,Milwaukee,Wisconsin
Five Springs Oatmeal Stout,2199,854,American-Style Stout,North American Ale,Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,Illinois
Lava Rock Porter,1202,447,Porter,Irish Ale,Dick's Brewing,5945 Prather Road,Centralia,Washington
Scorpion Amber Ale,3974,894,American-Style Amber/Red Ale,North American Ale,Mudshark Brewing,210 Swanson Avenue,Lake Havasu City,Arizona
Ipswich Summer,4022,850,Golden or Blonde Ale,North American Ale,Mercury Brewing Company,23 Hayward St.,Ipswich,Massachusetts
Susquehanna Oatmeal Stout,4118,319,Oatmeal Stout,British Ale,Bullfrog Brewery,231 W. Fourth Street,Williamsport,Pennsylvania
Black Chocolate Stout,4286,259,American-Style Stout,North American Ale,Brooklyn Brewery,79 North Eleventh Street,Brooklyn,New York
420 Extra Pale Ale,4413,1224,American-Style Pale Ale,North American Ale,Sweetwater Brewing - Atlanta,195 Ottley Drive,Atlanta,Georgia
Partly Sunny,4872,705,Light American Wheat Ale or Lager,Other Style,Ithaca Beer Company,600 Elmira Road,Ithaca,New York
Michelob Hop Hound Amber Wheat,5224,44,Light American Wheat Ale or Lager,Other Style,Anheuser-Busch,One Busch Place,Saint Louis,Missouri
Pugsley's Signature Series XXXX IPA,5424,1136,Imperial or Double India Pale Ale,North American Ale,Shipyard Brewing - Portland,86 Newbury Street,Portland,Maine
Bathtub Gin Gruit Ale,5760,858,Herb and Spice Beer,Other Style,Midnight Sun Brewing Co.,8111 Dimond Hook Drive,Anchorage,Alaska
Hopportunity Knocks Ale,5810,328,American-Style India Pale Ale,North American Ale,Caldera Brewing,540 Clover Lane,Ashland,Oregon
Hefeweizen,5883,1391,South German-Style Hefeweizen,German Ale,Yazoo Brewing,910 Division St,Nashville,Tennessee
Blue Paddle Pilsener,431,905,German-Style Pilsener,German Lager,New Belgium Brewing,500 Linden Street,Fort Collins,Colorado
Krooks Mill,947,823,American-Style Pale Ale,North American Ale,Manayunk Brewery and Restaurant,4120 Main Street,Philadelphia,Pennsylvania
Imperial Stout,1493,1103,American-Style Stout,North American Ale,Sand Creek Brewing Company,320 Pierce St,Black River Falls,Wisconsin
Stout,1869,310,American-Style Stout,North American Ale,Brown Street Brewery,16 North Brown Street,Rhinelander,Wisconsin
Peacemaker Porter,4635,538,Porter,Irish Ale,Flyers Restraunt and Brewery,32295 State Route 20,Oak Harbor,Washington
East Coast lager,4736,415,American-Style Lager,North American Lager,Cricket Hill,24 Kulick Road,Fairfield,New Jersey
Big Porch Ale,4749,100,American-Style Amber/Red Ale,North American Ale,Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan
Night Tripper,4849,908,American-Style Imperial Stout,North American Ale,New Holland Brewing Company,66 East Eighth Street,Holland,Michigan
Final Absolution,4910,463,Other Belgian-Style Ales,Belgian and French Ale,Dragonmead Microbrewery,14600 East Eleven Mile Road,Warren,Michigan
Jasparilla,5324,692,Old Ale,British Ale,Independence Brewing Co,3913 Todd Lane #607,Austin,Texas
Capital Island Wheat,5347,338,Light American Wheat Ale or Lager,Other Style,Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin
Goose Island Midway IPA,5404,585,American-Style India Pale Ale,North American Ale,Goose Island Beer Company - Clybourn,1800 North Clybourn Avenue,Chicago,Illinois
Christmas Ale,5856,10,American-Style Brown Ale,North American Ale,Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana
Amber,3449,350,American-Style Amber/Red Ale,North American Ale,Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina
DPA,3517,1029,American-Style Pale Ale,North American Ale,"Pyramid Alehouse, Brewery and Restaurant - Berkeley",901 Gilman Street,Berkeley,California
Hop Devil India Pale Ale,3832,1326,American-Style India Pale Ale,North American Ale,Victory Brewing,420 Acorn Lane,Downingtown,Pennsylvania
Wipeout IPA,3899,1009,American-Style India Pale Ale,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Celtic Cream Ale,2212,591,American-Style Lager,North American Lager,Govnor's Public House,220 North Randall Road,Lake In The Hills,Illinois
Plaid Bastard,1082,592,Scotch Ale,British Ale,Grand Lake Brewing,915 Grand Avenue,Grand Lake,Colorado
Red Square,1278,1009,American-Style Stout,North American Ale,Port Brewing Company,155 Mata Way Suite 104,San Marcos,California
Burly Brown Ale,1315,710,American-Style Brown Ale,North American Ale,James Page Brewing,1500 Jackson Street,Minneapolis,Minnesota
Chief Blackhawk Porter,1432,1301,Porter,Irish Ale,Tyranena Brewing,1025 Owen Street,Lake Mills,Wisconsin
Amber Plus,1462,689,American-Style Amber/Red Ale,North American Ale,Illinois Brewing,102 North Center Street #111,Bloomington,Illinois
Steelhead Extra Stout,2009,810,American-Style Stout,North American Ale,Mad River Brewing,195 Taylor Way,Blue Lake,California
Abana Amber Ale,2202,854,American-Style Amber/Red Ale,North American Ale,Mickey Finn's Brewery,412 North Milwaukee Avenue,Libertyville,Illinois
Lightning Bold Gold,2502,675,American-Style Lager,North American Lager,Hops Grillhouse & Brewery - Cherry Creek,149 Steele Street,Denver,Colorado
Tundrabeary Ale,2981,1271,Light American Wheat Ale or Lager,Other Style,Tommyknocker Brewery and Pub,1401 Miner Street,Idaho Springs,Colorado
Arc Weld Alt,4115,106,German-Style Brown Ale/Altbier,German Ale,Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania
Irish Stout,4215,247,American-Style Stout,North American Ale,Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin
